---|ARABIC|---	^-
EL BILAD	00!0!1/322541
EL Djazairia One	00!0!1/322325
EL FADJR	00!0!1/322542
ELHIWAR ETTOUNSI	00!0!1/322546
ELMOURITANIA 2	00!0!1/322548
ELMOURITANIA	00!0!1/322547
Elsharq	00!0!1/322321
EMARAT TV	00!0!1/322549
ENNAHAR TV	00!0!1/322550
ENTV	00!0!1/322324
ETIHAD TV	00!0!1/322552
Euronews	00!0!1/322320
FILMAX CLASSIC	00!0!1/322656
FIRST TV	00!0!1/322554
FRANCE 24	00!0!1/322555
FREE TV	00!0!1/322556
GSN7 TV	00!0!1/322319
Gulli Bel Arabi (D)	00!0!1/322560
GULLI	00!0!1/322559
HALABA TV	00!0!1/322563
HANNIBAL TV	00!0!1/322564
HEKAYAT 1	00!0!1/322566
HODHOD	00!0!1/322568
HONA BAGHDAD	00!0!1/322569
IEN DOROS 02	00!0!1/322572
IEN DOROS 03	00!0!1/322573
IEN DOROS 04	00!0!1/322574
IEN DOROS 05	00!0!1/322575
IEN DOROS 06	00!0!1/322576
IEN DOROS 07	00!0!1/322577
IEN DOROS 08	00!0!1/322578
IEN DOROS 09	00!0!1/322579
IEN DOROS 10	00!0!1/322580
IEN DOROS 11	00!0!1/322581
IEN DOROS 12	00!0!1/322582
IQRAA TV	00!0!1/322583
IRAQ EDU	00!0!1/322584
Iraq Future TV	00!0!1/322558
IRAQ FUTURE	00!0!1/322585
IRAQIA NEWS	00!0!1/322586
IRAQIA SPORT	00!0!1/322587
IRAQIA TV	00!0!1/322588
JANOUBIYA	00!0!1/322590
Jawhara FM	00!0!1/322318
JORDAN AMEN	00!0!1/322591
JORDAN AMMAN	00!0!1/322592
JORDAN SPORT	00!0!1/322593
JORDAN TV	00!0!1/322594
KARBALA	00!0!1/322596
KBC ALGERIE	00!0!1/322597
KOOGI KIDS	00!0!1/322598
Koogi TV	00!0!1/322317
Kramesh	00!0!1/322316
KSA SPORT 1	00!0!1/322599
KSA SPORT 2	00!0!1/322600
KSA SPORT 3	00!0!1/322601
KSA SPORT 3	00!0!1/322942
KSA SPORT 4	00!0!1/322602
KSA SPORT 4	00!0!1/322943
KTV 1	00!0!1/322603
KTV 2	00!0!1/322604
KTV ALARABI TV	00!0!1/322605
KTV ETHRAA	00!0!1/322606
KTV QURAIN	00!0!1/322607
KTV SPORT PLUS	00!0!1/322608
KTV SPORT TV	00!0!1/322609
LAAYOUNE TV	00!0!1/322611
LANA	00!0!1/322612
LBC INT	00!0!1/322615
LBC	00!0!1/322614
LDC	00!0!1/322616
LEBANON TV	00!0!1/322617
LIBYA 218	00!0!1/322618
LIBYA AL AHRAR TV	00!0!1/322619
LIBYA AL MOSTAQBAL	00!0!1/322620
Libya Al Rasmia	00!0!1/322314
LIBYA ALHADATH	00!0!1/322621
LIBYA ALWATANIYA	00!0!1/322622
LIBYA CHANNEL	00!0!1/322623
LIBYA PANORAMA CHANNEL	00!0!1/322624
LIBYA SPORT TV	00!0!1/322625
LIBYA WAAD	00!0!1/322626
LOGOS TV	00!0!1/322627
M TUNISIA	00!0!1/322628
MAAN TV HD	00!0!1/322629
MAJID KIDS	00!0!1/322630
MARJAEYAT 2	00!0!1/322631
MASPERO ZAMAN	00!0!1/322632
MAZZIKA TV	00!0!1/322633
MBC 1	00!0!1/322634
MBC 2	00!0!1/322635
MBC 3	00!0!1/322636
MBC 4	00!0!1/322637
MBC 5	00!0!1/322638
MBC ACTION	00!0!1/322639
MBC BOLLY WOOD (D)	00!0!1/322640
MBC BOLLYWOOD	00!0!1/322641
MBC DRAMA PLUS	00!0!1/322643
MBC DRAMA	00!0!1/322642
MBC FM	00!0!1/322644
MBC IRAQ (D)	00!0!1/322646
MBC IRAQ	00!0!1/322645
MBC MASR 1	00!0!1/322647
MBC MASR 2	00!0!1/322648
MBC MAX	00!0!1/322649
MBC PERSIA (D)	00!0!1/322650
MBC VARIETY	00!0!1/322651
ME SAT	00!0!1/322652
MEKAMELEEN	00!0!1/322654
MEKKA	00!0!1/322655
MIRACLE	00!0!1/322657
MIX HOLLYWOOD	00!0!1/322660
Mkamleen	00!0!1/322313
MOVIES DISNEY	00!0!1/322661
MTV LEBANON	00!0!1/322932
MUSAWA	00!0!1/322662
NABAA	00!0!1/322663
NAT GEO ABUDHABI	00!0!1/322664
NAT GEO WILD	00!0!1/322665
NBN	00!0!1/322666
NESSMA TV	00!0!1/322667
Netflix Action 1	00!0!1/322915
Netflix Action 2	00!0!1/322916
Netflix Action War	00!0!1/322917
Netflix Animation	00!0!1/322905
Netflix Arabic 1	00!0!1/322911
Netflix Arabic 2	00!0!1/322912
Netflix Arabic 3	00!0!1/322913
Netflix Arabic Classic	00!0!1/322914
Netflix Comedy 1	00!0!1/322920
Netflix Comedy 2	00!0!1/322921
Netflix Crime 1	00!0!1/322922
Netflix Crime 2	00!0!1/322923
Netflix Drama 1	00!0!1/322918
Netflix Drama 2	00!0!1/322919
Netflix Family 1	00!0!1/322926
Netflix Family 2	00!0!1/322927
Netflix Horror 1	00!0!1/322924
Netflix Horror 2	00!0!1/322925
Netflix Masrahiyat 1	00!0!1/322928
Netflix Masrahiyat 2	00!0!1/322929
NILE CINEMA	00!0!1/322668
NILE COMEDY	00!0!1/322669
NILE CULTURE	00!0!1/322670
NILE DRAMA	00!0!1/322671
NILE FAMILY	00!0!1/322672
NILE LIFE	00!0!1/322673
NILE NEWS	00!0!1/322674
NILE SPORT	00!0!1/322675
NILE TV	00!0!1/322676
NOUR AL SHAM	00!0!1/322677
NOUR ALSHARQ	00!0!1/322678
NOUR DUBAI TV	00!0!1/322679
Nour Elsham TV	00!0!1/322311
NOUR KODDAS	00!0!1/322680
NOUR MARIAM	00!0!1/322681
NOUR SAT TV	00!0!1/322682
Noursat Chabab	00!0!1/322309
Noursat	00!0!1/322310
O TV	00!0!1/322683
Oman Al Thaqafiya	00!0!1/322308
OMAN CULTURE	00!0!1/322684
OMAN GENERAL	00!0!1/322685
OMAN LIVE	00!0!1/322686
Oman Mubasher	00!0!1/322307
OMAN SPORTS	00!0!1/322687
ON DRAMA	00!0!1/322689
ON TIME SPORTS 1	00!0!1/322691
ON TIME SPORTS 2	00!0!1/322692
ON TIME SPORTS 3	00!0!1/322693
ON	00!0!1/322688
ONTIME SPORTS 1	00!0!1/322944
OSN ACTION	00!0!1/322697
OSN Al Safwa	00!0!1/322698
OSN Al YAWM	00!0!1/322699
OSN ALFA CINEMA 1	00!0!1/322865
OSN ALFA CINEMA 2	00!0!1/322866
OSN ART AFLAM 1	00!0!1/322700
OSN ART AFLAM 2	00!0!1/322701
OSN ART CINEMA	00!0!1/322702
OSN BABY TV	00!0!1/322703
OSN Cinema 1	00!0!1/322704
OSN Cinema 2	00!0!1/322705
OSN CNBC	00!0!1/322706
OSN COMEDY	00!0!1/322707
OSN DISCOVERY ID	00!0!1/322709
OSN DISNEY CHANNEL	00!0!1/322931
OSN DISNEY JUNIOR	00!0!1/322712
OSN E! Entertainment	00!0!1/322713
OSN enigma	00!0!1/322863
OSN FANN	00!0!1/322714
OSN H2	00!0!1/322715
OSN HEKAYAT 2	00!0!1/322717
OSN HISTORY	00!0!1/322718
OSN Kids Zone	00!0!1/322862
OSN LIVING	00!0!1/322719
OSN MEZZE	00!0!1/322720
OSN MOONBUG KIDS	00!0!1/322721
OSN MOVIES ACTION	00!0!1/322722
OSN Movies Comedy	00!0!1/322727
OSN MOVIES FIRST	00!0!1/322724
OSN Movies Hollywood	00!0!1/322725
OSN Movies Premier	00!0!1/322726
OSN MOVIES Showcase	00!0!1/322723
OSN NAT GEO WILD	00!0!1/322731
OSN NAT GEO	00!0!1/322730
OSN NEWS Live	00!0!1/322864
OSN NICKELODEON	00!0!1/322733
OSN SERIES CHANNEL	00!0!1/322734
OSN Sky News Arabia	00!0!1/322732
OSN SKY NEWS	00!0!1/322735
OSN STAR MOVIES	00!0!1/322736
OSN STAR WORLD	00!0!1/322737
OSN TLC	00!0!1/322738
OSN WWE	00!0!1/322739
OSN YAHALA AFLAM	00!0!1/322741
OSN Yahala Bil Arabi	00!0!1/322742
OSN YAHALA CINEMA	00!0!1/322743
OSN YAHALA	00!0!1/322740
OTV	00!0!1/322744
PALESTINE KOFIYA	00!0!1/322745
PALESTINE LIVE	00!0!1/322746
PALESTINE NEWS	00!0!1/322747
PALESTINE SPORT	00!0!1/322748
PALESTINE TODAY	00!0!1/322749
Panorama Food	00!0!1/322306
PNC DRAMA 2	00!0!1/322751
PNC FILM	00!0!1/322752
PNC FOOD	00!0!1/322753
QATAR TV	00!0!1/322754
QURAN TV	00!0!1/322755
Rock Sat TV	00!0!1/322305
ROTANA + FHD (D)	00!0!1/322756
Rotana AFLAM	00!0!1/322757
Rotana Cinema KSA (D)	00!0!1/322759
ROTANA CINEMA	00!0!1/322758
ROTANA CLIP	00!0!1/322760
ROTANA COMEDY	00!0!1/322761
ROTANA DRAMA	00!0!1/322762
Rotana Kids	00!0!1/322763
ROTANA MUSIC	00!0!1/322764
Roya News	00!0!1/322304
ROYA TV	00!0!1/322765
RUSSIA TODAY	00!0!1/322767
SADA EL BALAD 2	00!0!1/322769
SADA EL BALAD	00!0!1/322768
SAFA TV	00!0!1/322771
Safaa TV	00!0!1/322302
SAMA DUBAI	00!0!1/322773
SAMA TV	00!0!1/322774
SAMERRA TV	00!0!1/322775
SAMIRA TV	00!0!1/322776
SAT 7 ARABIC	00!0!1/322777
SAT 7 KIDS	00!0!1/322778
SAUDI 1	00!0!1/322779
SAUDI 24	00!0!1/322780
SAUDI AL EKHBARIA	00!0!1/322781
SAUDI AL HAJ	00!0!1/322782
Saudi Family TV	00!0!1/322301
Saudi Makkah	00!0!1/322300
SAUDI NEWS	00!0!1/322783
SAUDI QURAN	00!0!1/322784
SAUDI SUNNA	00!0!1/322786
SAUDI TV	00!0!1/322787
SBC TV	00!0!1/322303
SBC	00!0!1/322788
SHABAB	00!0!1/322790
SHAHID ACTION 1	00!0!1/322869
Shahid Adnan Wa Lina	00!0!1/322898
SHAHID BOLLYWOOD 1	00!0!1/322876
Shahid DOCUMENTARY 1	00!0!1/322868
SHAHID DRAMA	00!0!1/322871
SHAHID FAMILY 1	00!0!1/322877
SHAHID FAMILY 2	00!0!1/322878
Shahid Grizzy and Lemmings	00!0!1/322904
Shahid KIDS 1	00!0!1/322867
Shahid Luna Kids	00!0!1/322895
Shahid Marah KG	00!0!1/322894
Shahid Marah TV	00!0!1/322893
Shahid Masha and The Bear	00!0!1/322890
Shahid Movies Kids 1	00!0!1/322900
Shahid Movies Kids 2	00!0!1/322901
Shahid Movies Kids 3	00!0!1/322902
Shahid Mr Bean	00!0!1/322892
Shahid Oggy	00!0!1/322899
Shahid Pat And Mat	00!0!1/322896
Shahid Shaun The Sheep	00!0!1/322891
Shahid Smurfs	00!0!1/322886
Shahid Sponge Bob	00!0!1/322887
Shahid Teletubbies	00!0!1/322888
Shahid Tom and Jerry	00!0!1/322889
SHAHID TV 1	00!0!1/322872
SHAHID TV 2	00!0!1/322873
SHAHID TV 3	00!0!1/322874
SHAHID TV 6	00!0!1/322875
Shahid Wanasah Baby	00!0!1/322903
Shahid Woody	00!0!1/322897
SHARJAH SPORT	00!0!1/322793
SHARJAH	00!0!1/322792
Souriya TV	00!0!1/322299
SPACE TOON	00!0!1/322794
SSC 1	00!0!1/322354
SSC 1	00!0!1/322935
SSC 2	00!0!1/322355
SSC 2	00!0!1/322936
SSC 3	00!0!1/322946
SSC 5	00!0!1/322948
SSC EXTRA 1	00!0!1/322352
SSC Extra 1	00!0!1/322858
SSC EXTRA 2	00!0!1/322353
SSC Extra 2	00!0!1/322859
SSC SPORT 3	00!0!1/322797
SSC SPORT 4	00!0!1/322798
SSC SPORT 5	00!0!1/322799
STAR MOVIES	00!0!1/322804
SUDAN ASHOROOQ	00!0!1/322805
SUDAN KNOWLEDGE	00!0!1/322807
SUDAN SPORT [Events]	00!0!1/322808
SUDAN TV	00!0!1/322809
SUHAIL TV	00!0!1/322810
SYRIA AL OULA	00!0!1/322812
SYRIA DRAMA	00!0!1/322813
SYRIA EDUCATION	00!0!1/322814
SYRIA HALAB	00!0!1/322816
SYRIA LANA	00!0!1/322817
SYRIA MEDICAL TV	00!0!1/322818
SYRIA NEWS	00!0!1/322819
SYRIA SATELLITE TV	00!0!1/322821
SYRIA	00!0!1/322811
TAHA KIDS	00!0!1/322822
Taha TV	00!0!1/322295
TAMAZIGHT	00!0!1/322823
TANASUH TV HD	00!0!1/322824
TELE LIBAN	00!0!1/322826
TELE MAROC	00!0!1/322827
TELVZA TV	00!0!1/322828
TEN	00!0!1/322829
The Way Sat	00!0!1/322294
TOKTOK CIMA	00!0!1/322832
TOUNESNA	00!0!1/322833
Toyor Baby	00!0!1/322293
TOYOUR BABY	00!0!1/322834
TRT ARABIA	00!0!1/322835
TUNIS ALWATANIYA 1	00!0!1/322837
TUNISIA NAT 2	00!0!1/322840
Tunisia Wataniya 1	00!0!1/322292
Tunisia Wataniya 2	00!0!1/322291
Tunisna TV	00!0!1/322290
TV A3	00!0!1/322298
TV A4	00!0!1/322297
TV Algerie 5	00!0!1/322296
VIP CRIME	00!0!1/322884
WANASAH	00!0!1/322841
WANASAH	00!0!1/322842
WATAN TV	00!0!1/322843
Watar TV	00!0!1/322289
WESAL TV	00!0!1/322844
WTV	00!0!1/322845
YAS SPORT	00!0!1/322846
YEMEN EDU	00!0!1/322847
YEMEN SHABAB	00!0!1/322849
YEMEN TODAY	00!0!1/322850
YEMEN TV	00!0!1/322851
ZAD TV	00!0!1/322852
ZAMALEK SPORT	00!0!1/322853
ZAYTOUNA	00!0!1/322855
ZEE AFLAM	00!0!1/322856
ZEE ALWAN	00!0!1/322857

	^-
---|INTERNATIONAL|---	^-
Antena 3	00!0!1/49427
A&E	00!0!1/49428
Al Jazeera	00!0!1/49430
AXN	00!0!1/49431
Aym Sports	00!0!1/49432
Az Cinema	00!0!1/49434
Az Click	00!0!1/49435
Las Estrellas	00!0!1/49436
Canal Judicial	00!0!1/49437
Canal Once	00!0!1/49438
Comedy Central	00!0!1/49439
De Pelicula Plus	00!0!1/49440
De Pelicula	00!0!1/49441
Distrito Comedia	00!0!1/49442
DW	00!0!1/49443
E! Entertainment	00!0!1/49444
El Gourmet	00!0!1/49445
Film & Arts	00!0!1/49446
Food Network	00!0!1/49447
FX	00!0!1/49449
FXM	00!0!1/49450
Golden	00!0!1/49451
Golden Edge	00!0!1/49452
Golden Plus	00!0!1/49453
History Channel	00!0!1/49454
Hola TV	00!0!1/49456
VH1 Classic	00!0!1/49457
I.sat	00!0!1/49458
Maschic	00!0!1/49463
Mexiquense	00!0!1/49464
MTV Live	00!0!1/49466
Multimedios	00!0!1/49467
Multimedios Plus	00!0!1/49468
Paramount Channel	00!0!1/49469
A+ 7.2	00!0!1/49470
RMS	00!0!1/49471
Sony	00!0!1/49474
Space	00!0!1/49475
Star TVE	00!0!1/49476
Studio Universal	00!0!1/49477
Syfy	00!0!1/49479
TBS HD	00!0!1/49480
TCM	00!0!1/49481
Tlnovelas	00!0!1/49483
TLR	00!0!1/49484
BitMe	00!0!1/49487
Discovery TLC	00!0!1/49488
TNT	00!0!1/49490
TNT Series	00!0!1/49491
TruTV	00!0!1/49492
Canal 26	00!0!1/49493
TVC Deportes	00!0!1/49496
Universal Channel	00!0!1/49499
VH1	00!0!1/49500
Warner Channel	00!0!1/49502
RCN FHD	00!0!1/49661
Caracol FHD	00!0!1/49665
Cable Noticias HD	00!0!1/49668
Canal Capital ʜᴅ	00!0!1/49669
Canal Uno HD	00!0!1/49670
Caracol Internacional HD	00!0!1/49672
RCN Novelas	00!0!1/49678
Senal Colombia HD	00!0!1/49679
TeleAntoquia HD	00!0!1/49680
TeleMedellin HD	00!0!1/49684
TelePacifico HD	00!0!1/49685
WIN SPORTS + HD	00!0!1/49687
ESPN	00!0!1/49694
ESPN 2	00!0!1/49695
ESPN 3	00!0!1/49696
ESPN +	00!0!1/49698
Fox Sports	00!0!1/49700
FOX SPORTS 2 Sur	00!0!1/49701
Fox Sports 2	00!0!1/49702
Fox Sports 3	00!0!1/49703
DIRECTV SPORTS	00!0!1/49705
DIRECTV SPORTS 2	00!0!1/49709
Discovery Channel	00!0!1/49711
Discovery Civilization	00!0!1/49712
Discovery H&H	00!0!1/49713
Discovery Investigation	00!0!1/49714
Discovery Science	00!0!1/49716
DIscovery Theater	00!0!1/49717
Discovery Turbo	00!0!1/49718
Discovery World	00!0!1/49719
Animal Planet	00!0!1/49720
Natgeo	00!0!1/49721
Nat Geo Wild	00!0!1/49722
VENEVISION	00!0!1/49762
VALE TV	00!0!1/49764
Ve Plus	00!0!1/49765
VENEVISION PLUS	00!0!1/49767
Promar TV ꜱᴅ	00!0!1/49769
GLOBOVISION	00!0!1/49771
TELESUR SD	00!0!1/49773
CNN ESPANOL SD	00!0!1/49774
CNN International SD	00!0!1/49775
NTN24 SD	00!0!1/49776
LIFETIME SD	00!0!1/49777
Fox News SD	00!0!1/49778
24 Horas SD	00!0!1/49781
Chilevision FHD	00!0!1/50284
La Red HD	00!0!1/50288
Mega FHD	00!0!1/50289
TVN Culto GEO	00!0!1/50293
TVN HD	00!0!1/50294
Mega SD	00!0!1/50298
BABY FIRST	00!0!1/50444
BABY TV	00!0!1/50445
DISNEY CHANNEL	00!0!1/50446
DISNEY JR	00!0!1/50449
DISCOVERY KIDS	00!0!1/50451
DISNEY XD	00!0!1/50453
NICK JR	00!0!1/50455
NICKELODEON	00!0!1/50456
CNN ESPANOL ʜᴅ	00!0!1/50458
CNN International ʜᴅ	00!0!1/50459
NTN24 ʜᴅ	00!0!1/50460
CABLENOTICIAS ʜᴅ	00!0!1/50461
Lifetime ʜᴅ	00!0!1/50462
I24 NEWS ʜᴅ	00!0!1/50463
BBC World News ʜᴅ	00!0!1/50465
Bloomberg ʜᴅ	00!0!1/50466
Fox News ʜᴅ	00!0!1/50467
CARIBE ONE AMERICA NEWS ʜᴅ	00!0!1/50468
UK BBC WORLD NEWS ʜᴅ	00!0!1/50469
FORO TV ʜᴅ OPC 2	00!0!1/50473
CNN EN ESPANOL MEXICO ʜᴅ	00!0!1/50474
CDN ʜᴅ	00!0!1/50475
24 Horas ʜᴅ	00!0!1/50476
TVN ʜᴅ	00!0!1/50478
HBO LATINO	00!0!1/50484
HBO West HD	00!0!1/50485
HBO SIGNATURE HD	00!0!1/50486
HBO Plus HD	00!0!1/50487
HBO XTREME HD	00!0!1/50488
HBO East HD	00!0!1/50489
Cinemax East HD	00!0!1/50490
Cinemax HD 1080i	00!0!1/50491
Starz West HD	00!0!1/50493
Starz Kids & Family HD	00!0!1/50494
Starz ʜᴅ	00!0!1/50495
